--- Categories ---
E'lonlar | Объявления | Announcements
Moliyaviy hisobotlar | Важные факты | Important Facts
Muhim faktlar | Важные факты | Important Facts
Ustav | Устав | Charter

--- Documents ---
«Oʻzenergotaʼminlash» AJ ortiqcha tovar-moddiy zaxiralarini sotadi | АО "O'zenergotaminlash" реализует излишки товарно-материальных запасов | JSC "O'zenergotaminlash" to sell surplus inventory
Boshqalar_2016-07-21 |  | 
Boshqalar_2016-10-13 |  | 
Boshqalar_2017-10-26 |  | 
Boshqalar_2018-06-21 |  | 
Boshqalar_2019-03-28 |  | 
Boshqalar_2024-01-22 |  | 
Boshqalar_2024-01-22_1 |  | 
Affillangan shaxs bilan bitim_2026-03-19_1 |  | 
Affillangan shaxs bilan bitim_2026-03-26 |  | 
Affillangan shaxs bilan bitim_2026-03-30 |  | 
Affillangan shaxs bilan bitim_2026-04-13 |  | 
Affillangan shaxs bilan bitim_2026-04-16 |  | 
Affillangan shaxs bilan bitim_2026-04-20 |  | 
Affillangan shaxs bilan bitim_2026-04-21 |  | 
Affillangan shaxs bilan bitim_2026-04-24 |  | 
Affillangan shaxs bilan bitim_2026-04-24_1 |  | 
Affillangan shaxs bilan bitim_2026-04-27 |  | 
Affillangan shaxs bilan bitim_2026-04-30 |  | 
Affillangan shaxs bilan bitim_2026-04-30_1 |  | 
Affillangan shaxs bilan bitim_2026-04-30_2 |  | 
Affillangan shaxs bilan bitim_2026-05-01 |  | 
Affillangan shaxs bilan bitim_2026-05-01_1 |  | 
Affillangan shaxs bilan bitim_2026-05-04 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2016-06-24 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2017-07-03 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2017-12-14 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2018-07-03 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2019-04-25 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2021-05-04 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2021-06-15 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2021-10-05 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2021-10-18 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2022-12-06 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2022-12-09 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2022-12-28 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2023-03-28 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2023-12-10 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2024-09-04 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2025-09-08 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2025-11-06 |  | 
Affillangan shaxslar ro'yxatini o'zgartirish_2026-01-05 |  | 
Aktivlarning 10% dan ortiq qismini o'z ichiga olgan bitim_2016-03-03 |  | 
Aktivlarning 10% dan ortiq qismini o'z ichiga olgan bitim_2021-07-14 |  | 
Aktivlarning 10% dan ortiq qismini o'z ichiga olgan bitim_2022-02-10 |  | 
Boshqaruv organi aksiyalaridagi egalik o'zgarishi_2016-06-24 |  | 
Boshqaruv organi aksiyalaridagi egalik o'zgarishi_2017-07-04 |  | 
Boshqaruv organi qarorlari_2015-12-30 |  | 
Boshqaruv organi qarorlari_2016-03-10 |  | 
Boshqaruv organi qarorlari_2016-06-24 |  | 
Boshqaruv organi qarorlari_2017-07-03 |  | 
Boshqaruv organi qarorlari_2017-07-07 |  | 
Boshqaruv organi qarorlari_2017-12-14 |  | 
Boshqaruv organi qarorlari_2018-07-02 |  | 
Boshqaruv organi qarorlari_2019-04-30 |  | 
Boshqaruv organi qarorlari_2020-10-09 |  | 
Boshqaruv organi qarorlari_2021-06-15 |  | 
Boshqaruv organi qarorlari_2022-02-09 |  | 
Boshqaruv organi qarorlari_2022-07-05 |  | 
Boshqaruv organi qarorlari_2022-09-27 |  | 
Boshqaruv organi qarorlari_2022-11-08 |  | 
Boshqaruv organi qarorlari_2023-06-13 |  | 
Boshqaruv organi qarorlari_2023-07-11 |  | 
Boshqaruv organi qarorlari_2024-03-26 |  | 
Boshqaruv organi qarorlari_2024-05-11 |  | 
Boshqaruv organi qarorlari_2024-09-09 |  | 
Boshqaruv organi qarorlari_2024-12-06 |  | 
Boshqaruv organi qarorlari_2025-07-09 |  | 
Boshqaruv organi qarorlari_2026-01-05 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2016-06-24 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2016-06-27 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-07-03 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-07-03_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-07-03_2 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-07-07 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-07-07_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-07-07_2 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-12-12 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2017-12-12_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2018-07-03 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2018-07-03_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2018-07-03_2 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2019-04-24 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2019-04-24_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2019-04-25 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2019-10-11 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2020-10-09 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2020-10-09_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2020-10-09_2 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2021-05-04 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2021-06-15 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2021-06-15_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2021-06-15_2 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2021-10-07 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2021-10-18 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2022-07-04 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2022-07-04_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2022-07-05 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2022-09-22 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2023-07-10 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2023-07-10_1 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2024-09-04 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2025-07-09 |  | 
Boshqaruv tuzilmasidagi o'zgarishlar_2026-01-05 |  | 
Emitent tomonidan qimmatli qog'ozlarni qayta sotib olish huquqi_2015-12-24 |  | 
Emitent tomonidan qimmatli qog'ozlarni qayta sotib olish huquqi_2015-12-24_1 |  | 
Emitent tomonidan qimmatli qog'ozlarni qayta sotib olish huquqi_2024-01-22 |  | 
Katta hajmdagi bitim_2016-03-03 |  | 
Katta hajmdagi bitim_2021-07-14 |  | 
Katta hajmdagi bitim_2022-02-10 |  | 
Katta hajmdagi bitim_2026-02-03 |  | 
Katta hajmdagi bitim_2026-02-03_1 |  | 
Katta hajmdagi bitim_2026-02-03_2 |  | 
Katta hajmdagi bitim_2026-02-03_3 |  | 
Katta hajmdagi bitim_2026-02-03_4 |  | 
Katta hajmdagi bitim_2026-02-04 |  | 
Katta hajmdagi bitim_2026-02-04_1 |  | 
Manzil_elektron pochta_veb-saytni o'zgartirish_2019-10-10 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2016-06-24 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2017-07-03 |  | 
Qimmatli qog'ozlar bo'yicha daromad yig'ilishi_2018-07-03 |  | 
